Symbol,NSE Symbol,Company Name,ISIN,SERIES
BLBLIMITED.NS,BLBLIMITED,BLB Limited,INE791A01024,EQ
BLIL.NS,BLIL,Balmer Lawrie Investments Limited,INE525F01025,EQ
BLKASHYAP.NS,BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032,EQ
BLS.NS,BLS,BLS International Services Limited,INE153T01027,EQ
BLSE.NS,BLSE,BLS E-Services Limited,INE0NLT01010,EQ
BLUEDART.NS,BLUEDART,Blue Dart Express Limited,INE233B01017,EQ
BLUEJET.NS,BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,EQ
BLUESTARCO.NS,BLUESTARCO,Blue Star Limited,INE472A01039,EQ
BLUESTONE.NS,BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038,EQ
BLUSPRING.NS,BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,EQ
BMWVENTLTD.NS,BMWVENTLTD,BMW Ventures Limited,INE965W01036,EQ
BNALTD.NS,BNALTD,B & A Limited,INE489D01011,EQ
BOHRAIND.NS,BOHRAIND,Bohra Industries Limited,INE802W01023,EQ
BOMDYEING.NS,BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023,EQ
BONLON.NS,BONLON,Bonlon Industries Limited,INE0B9A01018,EQ
BORANA.NS,BORANA,Borana Weaves Limited,INE16SF01016,EQ
BOROLTD.NS,BOROLTD,Borosil Limited,INE02PY01013,EQ
BORORENEW.NS,BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,EQ
BOROSCI.NS,BOROSCI,Borosil Scientific Limited,INE02L001032,EQ
BOSCH-HCIL.NS,BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,INE782A01015,EQ
BOSCHLTD.NS,BOSCHLTD,Bosch Limited,INE323A01026,EQ
BPCL.NS,BPCL,Bharat Petroleum Corporation Limited,INE029A01011,EQ
BPL.NS,BPL,BPL Limited,INE110A01019,EQ
BRIGADE.NS,BRIGADE,Brigade Enterprises Limited,INE791I01019,EQ
BRIGHOTEL.NS,BRIGHOTEL,Brigade Hotel Ventures Limited,INE03NU01014,EQ
BRITANNIA.NS,BRITANNIA,Britannia Industries Limited,INE216A01030,EQ
BRNL.NS,BRNL,Bharat Road Network Limited,INE727S01012,EQ
BSE.NS,BSE,BSE Limited,INE118H01025,EQ
BSL.NS,BSL,BSL Limited,INE594B01012,EQ
BSOFT.NS,BSOFT,BIRLASOFT LIMITED,INE836A01035,EQ
BTML.NS,BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023,EQ
BUILDPRO.NS,BUILDPRO,Shankara Buildpro Limited,INE24OJ01011,EQ
