Symbol,NSE Symbol,Company Name,ISIN,SERIES,Market Cap,Market Cap Rank
AJANTPHARM.NS,AJANTPHARM,Ajanta Pharma Limited,INE031B01049,EQ,427204870144.0,224
CPPLUS.NS,CPPLUS,Aditya Infotech Limited,INE819V01029,EQ,425958801408.0,225
POONAWALLA.NS,POONAWALLA,Poonawalla Fincorp Limited,INE511C01022,EQ,417963081728.0,226
WELCORP.NS,WELCORP,Welspun Corp Limited,INE191B01025,EQ,417047773184.0,227
JKCEMENT.NS,JKCEMENT,JK Cement Limited,INE823G01014,EQ,416553140224.0,228
GLAXO.NS,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,EQ,415857934336.0,229
NH.NS,NH,Narayana Hrudayalaya Ltd.,INE410P01011,EQ,412191129600.0,230
PETRONET.NS,PETRONET,Petronet LNG Limited,INE347G01014,EQ,410700021760.0,231
NLCINDIA.NS,NLCINDIA,NLC India Limited,INE589A01014,EQ,409889800192.0,232
HUDCO.NS,HUDCO,Housing & Urban Development Corporation Limited,INE031A01017,EQ,406245572608.0,233
IRCTC.NS,IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,EQ,405600010240.0,234
GLAND.NS,GLAND,Gland Pharma Limited,INE068V01023,EQ,403986251776.0,235
BALKRISIND.NS,BALKRISIND,Balkrishna Industries Limited,INE787D01026,EQ,399257993216.0,236
PIIND.NS,PIIND,PI Industries Limited,INE603J01030,EQ,398038958080.0,237
3MINDIA.NS,3MINDIA,3M India Limited,INE470A01017,EQ,392812986368.0,238
KPRMILL.NS,KPRMILL,K.P.R. Mill Limited,INE930H01031,EQ,390578503680.0,239
PWL.NS,PWL,Physicswallah Limited,INE0LP301011,EQ,389061181440.0,240
NAVINFLUOR.NS,NAVINFLUOR,Navin Fluorine International Limited,INE048G01026,EQ,388696276992.0,241
ENDURANCE.NS,ENDURANCE,Endurance Technologies Limited,INE913H01037,EQ,384431554560.0,242
HSCL.NS,HSCL,Himadri Speciality Chemical Limited,INE019C01026,EQ,374156918784.0,243
CONCOR.NS,CONCOR,Container Corporation of India Limited,INE111A01025,EQ,370831753216.0,244
ASTRAL.NS,ASTRAL,Astral Limited,INE006I01046,EQ,370146213888.0,245
EXIDEIND.NS,EXIDEIND,Exide Industries Limited,INE302A01020,EQ,369920016384.0,246
COCHINSHIP.NS,COCHINSHIP,Cochin Shipyard Limited,INE704P01025,EQ,368891854848.0,247
DELHIVERY.NS,DELHIVERY,Delhivery Limited,INE148O01028,EQ,368647241728.0,248
PATANJALI.NS,PATANJALI,Patanjali Foods Limited,INE619A01035,EQ,367376990208.0,249
LTTS.NS,LTTS,L&T Technology Services Limited,INE010V01017,EQ,362286645248.0,250
ITCHOTELS.NS,ITCHOTELS,ITC Hotels Limited,INE379A01028,EQ,359125942272.0,251
UBL.NS,UBL,United Breweries Limited,INE686F01025,EQ,354223554560.0,252
MEDANTA.NS,MEDANTA,Global Health Limited,INE474Q01031,EQ,353875853312.0,253
HEXT.NS,HEXT,Hexaware Technologies Limited,INE093A01041,EQ,347512471552.0,254
BLUESTARCO.NS,BLUESTARCO,Blue Star Limited,INE472A01039,EQ,346814218240.0,255
HONAUT.NS,HONAUT,Honeywell Automation India Limited,INE671A01010,EQ,344648876032.0,256
ANANDRATHI.NS,ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,EQ,344153718784.0,257
BANDHANBNK.NS,BANDHANBNK,Bandhan Bank Limited,INE545U01014,EQ,343562387456.0,258
STARHEALTH.NS,STARHEALTH,Star Health and Allied Insurance Company Limited,INE575P01011,EQ,343009853440.0,259
DALBHARAT.NS,DALBHARAT,Dalmia Bharat Limited,INE00R701025,EQ,342267133952.0,260
IREDA.NS,IREDA,Indian Renewable Energy Development Agency Limited,INE202E01016,EQ,341714894848.0,261
NUVAMA.NS,NUVAMA,Nuvama Wealth Management Limited,INE531F01023,EQ,340069416960.0,262
EMCURE.NS,EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,EQ,338237620224.0,263
TATAINVEST.NS,TATAINVEST,Tata Investment Corporation Limited,INE672A01026,EQ,335092645888.0,264
ABSLAMC.NS,ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,EQ,332826869760.0,265
GODFRYPHLP.NS,GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,EQ,329105899520.0,266
KIRLOSENG.NS,KIRLOSENG,Kirloskar Oil Engines Limited,INE146L01010,EQ,328218574848.0,267
UCOBANK.NS,UCOBANK,UCO Bank,INE691A01018,EQ,326780911616.0,268
HFCL.NS,HFCL,HFCL Limited,INE548A01028,EQ,326206291968.0,269
ESCORTS.NS,ESCORTS,Escorts Kubota Limited,INE042A01014,EQ,323150446592.0,270
KIMS.NS,KIMS,Krishna Institute of Medical Sciences Limited,INE967H01025,EQ,321291583488.0,271
IKS.NS,IKS,Inventurus Knowledge Solutions Limited,INE115Q01022,EQ,318235639808.0,272
CRISIL.NS,CRISIL,Crisil Limited,INE007A01025,EQ,310488137728.0,273
WOCKPHARMA.NS,WOCKPHARMA,Wockhardt Limited,INE049B01025,EQ,308848885760.0,274
TATATECH.NS,TATATECH,Tata Technologies Limited,INE142M01025,EQ,307807584256.0,275
