symbol,screener_company_id,statement_type,financial_reporting_date,pe_average_3y,pe_median_3y,pe_average_5y,pe_median_5y,pe_average_10y,pe_median_10y,sales_growth_3y,sales_growth_5y,sales_growth_10y,profit_growth_3y,profit_growth_5y,profit_growth_10y,eps_growth_3y,eps_growth_5y,eps_growth_10y,debt_to_equity,roe,opm,source_url,refreshed_at
CSM.NS,1286023,consolidated,2026-03-31,11.9079,15.05,11.9079,15.05,11.9079,15.05,12.0,,,18.0,,,-37.61166435218107,,,0.6990291262135923,28.5,20.0,https://www.screener.in/company/CSM/consolidated/,2026-08-23T18:06:55.829859+00:00
CTE.NS,573,consolidated,2026-03-31,26.6118,25.5,14.3647,10.7,11.0742,9.4,0.0,-42.0,-25.0,-61.0,0.0,-9.0,-61.32879410592182,-44.33361997358949,-25.602742476623664,1.0,0.65,12.0,https://www.screener.in/company/CTE/consolidated/,2026-08-23T18:06:55.829859+00:00
CUMMINSIND.NS,744,consolidated,2026-03-31,50.3758,51.2,45.3851,41.9,37.2107,35.4,16.0,31.0,13.0,26.0,39.0,19.0,24.350045422572357,30.041778702712385,12.593476860821353,0.0043657817109144,30.2,20.0,https://www.screener.in/company/CUMMINSIND/consolidated/,2026-08-23T18:06:55.829859+00:00
CUPID.NS,745,consolidated,2026-03-31,105.4548,72.0,69.8199,41.5,69.37,40.7,,30.0,,,163.0,62.0,53.77619196572583,,,0.1244444444444444,27.3,35.0,https://www.screener.in/company/CUPID/consolidated/,2026-08-23T18:06:55.829859+00:00
CYIENT.NS,1490,consolidated,2026-03-31,25.7204,24.3,24.2429,23.4,20.0979,19.55,7.0,5.0,4.0,-5.0,-1.0,5.0,-6.10453778006419,3.0989242655696803,2.8981340088129803,0.075853572685674,8.61,12.0,https://www.screener.in/company/CYIENT/consolidated/,2026-08-23T18:06:55.829859+00:00
CYIENTDLM.NS,1284402,consolidated,2026-03-31,70.7261,65.5,71.2067,67.3,71.2067,67.3,15.0,,,32.0,,,15.43836052714902,,,0.1699604743083003,7.49,10.0,https://www.screener.in/company/CYIENTDLM/consolidated/,2026-08-23T18:06:55.829859+00:00
DABUR.NS,757,consolidated,2026-03-31,50.7236,51.2,52.6203,53.3,51.2002,51.95,5.0,2.0,4.0,4.0,-8.0,3.0,3.474040100316333,2.197706302936031,4.152611828627761,0.1127068920220684,17.0,19.0,https://www.screener.in/company/DABUR/consolidated/,2026-08-23T18:06:55.829859+00:00
DALBHARAT.NS,1274605,consolidated,2026-03-31,39.1713,37.8,38.7904,36.7,35.7517,35.4,3.0,-2.0,,-1.0,-1.0,,3.2274449564805074,-0.5983612125552984,,0.4119250236386896,6.11,20.0,https://www.screener.in/company/DALBHARAT/consolidated/,2026-08-23T18:06:55.829859+00:00
DALMIASUG.NS,763,consolidated,2026-03-31,11.8848,11.7,11.4477,11.2,10.1616,10.1,4.0,-3.0,17.0,-2.0,3.0,17.0,-1.811994353865598,-2.623631259908388,15.02009247280547,0.5561381863047502,7.3,11.0,https://www.screener.in/company/DALMIASUG/consolidated/,2026-08-23T18:06:55.829859+00:00
DAMCAPITAL.NS,1285200,consolidated,2026-03-31,14.7897,14.75,14.7897,14.75,14.7897,14.75,41.0,,,103.0,,,,,,0.0090361445783132,24.4,51.0,https://www.screener.in/company/DAMCAPITAL/consolidated/,2026-08-23T18:06:55.829859+00:00
DANGEE.NS,1274407,consolidated,2017-03-31,6.0899,5.2,10.3263,9.55,10.1288,9.2,,,,,-25.0,,,,,,,23.48,https://www.screener.in/company/DANGEE/consolidated/,2026-08-23T18:06:55.829859+00:00
